year;title;studios;producers;winner;imageUrl
2003;The Real Cancun;New Line Cinema;Mary-Ellis Bunim, Jonathan Murray, Jamie Schutz and Rick de Oliveira;;https://upload.wikimedia.org/wikipedia/en/7/7c/Real_cancun_poster.jpg
2004;Catwoman;Warner Bros.;Denise Di Novi and Edward McDonnell;yes;https://upload.wikimedia.org/wikipedia/en/0/04/Catwoman_poster.jpg
2004;Alexander;Warner Bros.;Moritz Borman, Jon Kilik, Thomas Schuhly and Iain Smith;;https://upload.wikimedia.org/wikipedia/en/a/ae/AlexanderPoster.jpg
2004;Superbabies: Baby Geniuses 2;Triumph Films;Steven Paul;;https://upload.wikimedia.org/wikipedia/en/a/aa/Superbabies_poster.JPG
2004;Surviving Christmas;DreamWorks;Betty Thomas and Jenno Topping;;https://upload.wikimedia.org/wikipedia/en/2/2a/Surviving_Christmas_poster.JPG
2004;White Chicks;Columbia Pictures, Revolution Studios;Rick Alvarez, Lee R. Mayes, Keenen Ivory Wayans, Marlon Wayans and Shawn Wayans;;https://upload.wikimedia.org/wikipedia/en/2/2b/White_chicks.jpg
2005;Dirty Love;First Look Pictures;John Mallory Asher, BJ Davis, Rod Hamilton, Kimberley Kates, Michael Manasseri, Jenny McCarthy and Trent Walford;yes;https://upload.wikimedia.org/wikipedia/en/5/51/Dirty_Love.jpg
2005;Deuce Bigalow: European Gigolo;Columbia Pictures;Adam Sandler and Rob Schneider;;https://upload.wikimedia.org/wikipedia/en/e/e2/Deuce_Bigalow_European_Gigolo_poster.jpg
2005;The Dukes of Hazzard;Warner Bros., Village Roadshow;Bill Gerber;;https://upload.wikimedia.org/wikipedia/en/9/98/Dukes_of_hazzard_movie_poster.jpg
2005;House of Wax;Warner Bros., Village Roadshow;Susan Levin, Joel Silver and Robert Zemeckis;;https://upload.wikimedia.org/wikipedia/en/d/d9/House_Of_Wax_movie_poster.jpg
2005;Son of the Mask;New Line Cinema;Erica Huggins and Scott Kroopf;;https://upload.wikimedia.org/wikipedia/en/1/17/Sonofthemask.jpg
2006;Basic Instinct 2;MGM, C2 Pictures;Mario Kassar, Joel B. Michaels and Andrew G. Vajna;yes;https://upload.wikimedia.org/wikipedia/en/f/fe/Basic_instinct_2.jpg
2006;BloodRayne;Romar Entertainment;Uwe Boll, Dan Clarke and Wolfgang Herrold;;https://upload.wikimedia.org/wikipedia/en/f/f0/BloodRayne_%28film%29.png
2006;Lady in the Water;Warner Bros.;Sam Mercer, Jose L. Rodriguez and M. Night Shyamalan;;https://upload.wikimedia.org/wikipedia/en/4/4f/Ladyinthewater_pos_gal.jpg
2006;Little Man;Columbia Pictures, Revolution Studios;Rick Alvares, Lee Mays, Marlon Wayans and Shawn Wayans;;https://upload.wikimedia.org/wikipedia/en/d/df/Littlemanposter.jpg
2006;The Wicker Man;Warner Bros.;Nicolas Cage, Randall Emmett, Norm Golightly, Avi Lerner and Joanne Sellar;;https://upload.wikimedia.org/wikipedia/en/f/fa/Wicker-man-poster.jpg
2007;I Know Who Killed Me;TriStar Pictures;David Grace and Frank Mancuso Jr.;yes;https://upload.wikimedia.org/wikipedia/en/d/d0/Who_killed_me_post.jpg
2007;Bratz;Lionsgate;Avi Arad, Isaac Larian and Steven Paul;;https://upload.wikimedia.org/wikipedia/en/f/fb/Bratz_The_Movie_poster.jpg
2007;Daddy Day Camp;TriStar Pictures, Revolution Studios;Matt Berenson, John Davis and Wyck Godfrey;;https://upload.wikimedia.org/wikipedia/en/6/67/Daddy_Day_Camp_poster.jpg
2007;I Now Pronounce You Chuck & Larry;Universal Studios;Adam Sandler and Tom Shadyac;;https://upload.wikimedia.org/wikipedia/en/e/e9/Chuckandlarrymp.jpg
2007;Norbit;DreamWorks;John Davis, Eddie Murphy and Michael Tollin;;https://upload.wikimedia.org/wikipedia/en/6/60/Norbit_%282007_film%29_poster.jpg
2008;The Love Guru;Paramount Pictures;Gary Barber, Michael DeLuca and Mike Myers;yes;https://upload.wikimedia.org/wikipedia/en/8/8f/Love_guru.jpg
2008;Disaster Movie and Meet the Spartans;Lionsgate, 20th Century Fox;Jason Friedberg, Peter Safran and Aaron Seltzer;;https://upload.wikimedia.org/wikipedia/en/a/af/Disaster_movie.jpg
2008;The Happening;20th Century Fox;Barry Mendel, Sam Mercer and M. Night Shyamalan;;https://upload.wikimedia.org/wikipedia/en/a/a6/Happening_poster.jpg
2008;The Hottie & the Nottie;Regent Releasing;Hadeel Reda;;https://upload.wikimedia.org/wikipedia/en/8/88/Hottie_and_the_nottie.jpg
2008;In the Name of the King;Boll KG, Brightlight Pictures;Uwe Boll, Dan Clarke, Wolfgang Herrold and Shawn Williamson;;https://upload.wikimedia.org/wikipedia/en/1/1c/In_the_Name_of_the_King_-_theatrical_poster.jpg
2009;Transformers: Revenge of the Fallen;Paramount Pictures, DreamWorks, Hasbro;Lorenzo di Bonaventura, Ian Bryce, Tom DeSanto and Don Murphy;yes;https://upload.wikimedia.org/wikipedia/en/c/cb/TF2SteelPoster.jpg
2009;All About Steve;20th Century Fox;Sandra Bullock and Mary McLaglen;;https://upload.wikimedia.org/wikipedia/en/d/dc/All_about_steve_poster.jpg
2009;G.I. Joe: The Rise of Cobra;Paramount Pictures, Hasbro;Lorenzo di Bonaventura, Bob Ducsay and Brian Goldner;;https://upload.wikimedia.org/wikipedia/en/7/78/G.I._Joe_-_The_Rise_of_Cobra_%282009_film%29.jpg
2009;Land of the Lost;Universal Studios;Sid and Marty Krofft and Jimmy Miller;;https://upload.wikimedia.org/wikipedia/en/9/99/Land_of_the_Lost_poster.jpg
2009;Old Dogs;Walt Disney Pictures;Peter Abrams, Robert Levy and Andrew Panay;;https://upload.wikimedia.org/wikipedia/en/e/ee/Old_dogs_poster.jpg
2010;The Last Airbender;Paramount Pictures, Nickelodeon Movies;Frank Marshall, Kathleen Kennedy, Sam Mercer and M. Night Shyamalan;yes;https://upload.wikimedia.org/wikipedia/en/e/ee/Old_dogs_poster.jpg
2010;The Bounty Hunter;Columbia Pictures;Neal H. Moritz;;https://upload.wikimedia.org/wikipedia/en/8/88/Bounty_hunter_poster.jpg
2010;Sex and the City 2;New Line Cinema, HBO Films, Village Roadshow Pictures;Michael Patrick King, John Melfi, Sarah Jessica Parker and Darren Star;;https://upload.wikimedia.org/wikipedia/en/2/2d/Sex_and_the_City_2_poster.jpg
2010;The Twilight Saga: Eclipse;Summit Entertainment;Wyck Godfrey and Karen Rosenfelt;;https://upload.wikimedia.org/wikipedia/en/d/d7/Eclipse_Theatrical_One-Sheet.jpg
2010;Vampires Suck;20th Century Fox;Jason Friedberg, Peter Safran and Aaron Seltzer;;https://upload.wikimedia.org/wikipedia/en/e/e6/Vampires_Suck_Poster.jpg
2011;Jack and Jill;Columbia Pictures;Todd Garner, Jack Giarraputo and Adam Sandler;yes;https://upload.wikimedia.org/wikipedia/en/9/99/Jack_and_jill_film_poster.jpg
